<S> <S>+BSTag
"Ama	ama <n> <3s>
"Ama	ama <n> <3p>
hiç	hiç <n> <3s>
hiç	hiç <n> <3p>
bilmiyordu;	bil <v> <neg> <t_cont> <cpl_di> <3p>
bilmiyordu;	bil <v> <neg> <t_cont> <3p> <cpl_di>
ama	ama <n> <3s>
ama	ama <n> <3p>
ama	ama <cnjcoo>
ama	ama <cnjadv>
kedi	kedi <n> <3s>
kedi	kedi <n> <3p>
sadece	sadece <adv> <Dan_0> <n>
sadece	sadece <adv> <Dan_0> <n> <3s>
sadece	sadece <adv> <Dan_0> <n> <3p>
sadece	sadece <n>
sadece	sadece <n> <3s>
sadece	sadece <n> <3p>
sadece	sade <n> <D_CA> <adj>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3s>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3p>
sadece	sade <n> <D_CA> <adv>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3s>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3p>
sadece	sade <n> <D_CA> <n>
sadece	sade <n> <D_CA> <n> <3s>
sadece	sade <n> <D_CA> <n> <3p>
biraz	biraz <adj> <Djn_0> <n>
biraz	biraz <adj> <Djn_0> <n> <3s>
biraz	biraz <adj> <Djn_0> <n> <3p>
biraz	biraz <adv>
biraz	biraz <adv> <Dan_0> <n>
biraz	biraz <adv> <Dan_0> <n> <3s>
biraz	biraz <adv> <Dan_0> <n> <3p>
biraz	biraz <det>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
sırıttı.	sırıt <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Alis:	<unk>
“Gel,	<unk>
şu	şu <prn> <dem> <3s>
şu	şu <prn> <dem> <3p>
şu	şu <det>
ana	ana <adj> <Djn_0> <n>
ana	ana <adj> <Djn_0> <n> <3s>
ana	ana <adj> <Djn_0> <n> <3p>
ana	ana <n>
ana	ana <n> <3s>
ana	ana <n> <3p>
ana	an <n> <dat>
ana	an <n> <dat> <3s>
ana	an <n> <dat> <3p>
ana	an <v> <t_opt> <3s>
ana	an <v> <t_opt> <3p>
kadarki	kadarki <adj> <Djn_0> <n>
kadarki	kadarki <adj> <Djn_0> <n> <3s>
kadarki	kadarki <adj> <Djn_0> <n> <3p>
halin	hal <n> <p2s> <3s>
halin	hal <n> <p2s> <3p>
halin	hal <n> <gen>
halin	hal <n> <gen> <3s>
halin	hal <n> <gen> <3p>
hoş,”	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
devam	devam <n> <3s>
devam	devam <n> <3p>
devam	deva <n> <p1s>
devam	deva <n> <p1s> <3s>
devam	deva <n> <p1s> <3p>
etti,	et <n> <cpl_di> <3p>
