<S> <S>+BSTag
"Sen	sen <prn> <pers> <3s>
"Sen	sen <prn> <pers> <3p>
Şapkacı.	şapka <n> <D_CI> <n> <3s>
Şapkacı.	şapka <n> <D_CI> <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Kral	kral <n> <3s>
Kral	kral <n> <3p>
sert	sert <adj> <Djn_0> <n>
sert	sert <adj> <Djn_0> <n> <3s>
sert	sert <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
sesle,	sesle <v> <t_imp> <3p>
sesle,	ses <n> <D_lA> <v> <t_imp> <2s>
sesle,	ses <n> <D_lA> <v> <t_imp> <3p>
sesle,	ses <n> <ins>
sesle,	ses <n> <ins> <3s>
sesle,	ses <n> <ins> <3p>
"Kırpmak	kırp <v> <vn_mak> <3s>
"Kırpmak	kırp <v> <vn_mak> <3p>
"Kırpmak	kırp <v> <vinf>
"Kırpmak	kırp <v> <cv_mak>
elbette	elbette <adv> <Dan_0> <n>
elbette	elbette <adv> <Dan_0> <n> <3s>
elbette	elbette <adv> <Dan_0> <n> <3p>
elbette	elbet <adv> <Dan_0> <n> <loc>
elbette	elbet <adv> <Dan_0> <n> <loc> <3s>
elbette	elbet <adv> <Dan_0> <n> <loc> <3p>
T	<unk>
ile	ile <cnjcoo>
ile	il <n> <dat>
ile	il <n> <dat> <3s>
ile	il <n> <dat> <3p>
başlar"	baş <n> <D_lA> <v> <t_aor> <3p>
başlar"	baş <n> <3p>
başlar"	baş <n> <pl>
başlar"	baş <n> <pl> <3s>
başlar"	baş <n> <pl> <3p>
dedi.	de <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Beni	ben <prn> <pers> <p3s> <3s>
"Beni	ben <prn> <pers> <p3s> <3p>
"Beni	ben <prn> <pers> <acc>
"Beni	ben <prn> <pers> <acc> <3s>
"Beni	ben <prn> <pers> <acc> <3p>
aptal	aptal <n> <3s>
aptal	aptal <n> <3p>
yerine	yerin <v> <t_opt> <3p>
yerine	yer <n> <p2s> <dat>
yerine	yer <n> <p2s> <dat> <3s>
yerine	yer <n> <p2s> <dat> <3p>
yerine	yer <n> <p3s> <dat>
yerine	yer <n> <p3s> <dat> <3s>
yerine	yer <n> <p3s> <dat> <3p>
mi	<unk>
koyuyorsun?	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Devam	devam <n> <3s>
Devam	devam <n> <3p>
Devam	deva <n> <p1s>
Devam	deva <n> <p1s> <3s>
Devam	deva <n> <p1s> <3p>
et!"	et <n> <3s>
et!"	et <n> <3p>
et!"	et <v> <t_imp> <2s>
et!"	et <v> <t_imp> <3p>
“Ben	<unk>
zavallı	zavallı <n> <3s>
zavallı	zavallı <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
adamım,”	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
devam	devam <n> <3s>
devam	devam <n> <3p>
devam	deva <n> <p1s>
devam	deva <n> <p1s> <3s>
devam	deva <n> <p1s> <3p>
etti	et <n> <cpl_di> <3p>
etti	et <n> <3p> <cpl_di>
etti	et <v> <t_past> <3s>
etti	et <v> <t_past> <3p>
Şapkacı,	şapka <n> <D_CI> <adj> <Djn_0> <n>
Şapkacı,	şapka <n> <D_CI> <adj> <Djn_0> <n> <3s>
Şapkacı,	şapka <n> <D_CI> <adj> <Djn_0> <n> <3p>
Şapkacı,	şapka <n> <D_CI> <n>
Şapkacı,	şapka <n> <D_CI> <n> <3s>
Şapkacı,	şapka <n> <D_CI> <n> <3p>
“bundan	<unk>
sonra	sonra <adv> <Dan_0> <n>
sonra	sonra <adv> <Dan_0> <n> <3s>
sonra	sonra <adv> <Dan_0> <n> <3p>
sonra	sonra <n>
sonra	sonra <n> <3s>
sonra	sonra <n> <3p>
sonra	sonra <postp>
sonra	sonra <cnjadv>
pek	pek <adj> <Djn_0> <n>
pek	pek <adj> <Djn_0> <n> <3s>
