<S> <S>+BSTag
"Ne	ne <prn> <qst> <3s>
"Ne	ne <prn> <qst> <3p>
hızlı	hızlı <adv> <Dan_0> <n>
hızlı	hızlı <adv> <Dan_0> <n> <3s>
hızlı	hızlı <adv> <Dan_0> <n> <3p>
hızlı	hız <n> <D_lI> <adj>
hızlı	hız <n> <D_lI> <adj> <Djn_0> <n>
hızlı	hız <n> <D_lI> <adj> <Djn_0> <n> <3s>
hızlı	hız <n> <D_lI> <adj> <Djn_0> <n> <3p>
hızlı	hız <n> <D_lI> <n>
hızlı	hız <n> <D_lI> <n> <3s>
hızlı	hız <n> <D_lI> <n> <3p>
yürüdü.	yürü <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Papağan	papağan <n> <3s>
Papağan	papağan <n> <3p>
gözden	gözde <n> <p2s> <3s>
gözden	gözde <n> <p2s> <3p>
gözden	göz <n> <abl>
gözden	göz <n> <abl> <3s>
gözden	göz <n> <abl> <3p>
kaybolur	kaybol <v> <t_aor> <3p>
kaybolmaz,	kaybol <v> <neg> <t_aor> <3p>
"Kalmaması	kal <v> <neg> <vn_ma> <p3s> <3s>
"Kalmaması	kal <v> <neg> <vn_ma> <p3s> <3p>
"Kalmaması	kal <v> <neg> <cv_ma> <p3s>
ne	ne <prn> <qst> <3s>
ne	ne <prn> <qst> <3p>
ne	ne <cnjcoo>
yazık!"	yazık <n> <3s>
yazık!"	yazık <n> <3p>
yazık!"	yazık <ij>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
içini	iç <adj> <Djn_0> <n> <p2s> <acc> <3s>
içini	iç <adj> <Djn_0> <n> <p2s> <acc> <3p>
içini	iç <adj> <Djn_0> <n> <p3s> <acc>
içini	iç <adj> <Djn_0> <n> <p3s> <acc> <3s>
içini	iç <adj> <Djn_0> <n> <p3s> <acc> <3p>
içini	iç <n> <p2s> <acc>
içini	iç <n> <p2s> <acc> <3s>
içini	iç <n> <p2s> <acc> <3p>
içini	iç <n> <p3s> <acc>
içini	iç <n> <p3s> <acc> <3s>
içini	iç <n> <p3s> <acc> <3p>
çekti.	çek <n> <cpl_di> <3p>
çekti.	çek <n> <3p> <cpl_di>
çekti.	çek <v> <t_past> <3s>
çekti.	çek <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Yaşlı	yaş <adj> <D_lI> <adj> <Djn_0> <n>
Yaşlı	yaş <adj> <D_lI> <adj> <Djn_0> <n> <3s>
Yaşlı	yaş <adj> <D_lI> <adj> <Djn_0> <n> <3p>
Yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <adj>
Yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <adj> <Djn_0> <n>
Yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <adj> <Djn_0> <n> <3s>
Yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <adj> <Djn_0> <n> <3p>
Yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <n>
Yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <n> <3s>
Yaşlı	yaş <adj> <Djn_0> <n> <D_lI> <n> <3p>
Yaşlı	yaş <n> <D_lI> <adj>
Yaşlı	yaş <n> <D_lI> <adj> <Djn_0> <n>
Yaşlı	yaş <n> <D_lI> <adj> <Djn_0> <n> <3s>
Yaşlı	yaş <n> <D_lI> <adj> <Djn_0> <n> <3p>
Yaşlı	yaş <n> <D_lI> <n>
Yaşlı	yaş <n> <D_lI> <n> <3s>
Yaşlı	yaş <n> <D_lI> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
yengeç,	yengeç <n> <3s>
yengeç,	yengeç <n> <3p>
kızına,	kız <adj> <Djn_0> <n> <p2s> <dat> <3s>
kızına,	kız <adj> <Djn_0> <n> <p2s> <dat> <3p>
kızına,	kız <adj> <Djn_0> <n> <p3s> <dat>
kızına,	kız <adj> <Djn_0> <n> <p3s> <dat> <3s>
kızına,	kız <adj> <Djn_0> <n> <p3s> <dat> <3p>
kızına,	kız <n> <p2s> <dat>
kızına,	kız <n> <p2s> <dat> <3s>
kızına,	kız <n> <p2s> <dat> <3p>
kızına,	kız <n> <p3s> <dat>
kızına,	kız <n> <p3s> <dat> <3s>
kızına,	kız <n> <p3s> <dat> <3p>
"Ah,	ah <n> <3s>
"Ah,	ah <n> <3p>
"Ah,	ah <ij>
canım	can <n> <p1s>
canım	can <n> <p1s> <3s>
canım	can <n> <p1s> <3p>
benim"	ben <prn> <pers> <p1s>
benim"	ben <prn> <pers> <p1s> <3s>
benim"	ben <prn> <pers> <p1s> <3p>
demek	de <v> <vn_mak>
demek	de <v> <vn_mak> <3s>
demek	de <v> <vn_mak> <3p>
demek	de <v> <vinf>
demek	de <v> <cv_mak>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
için	iç <adj> <Djn_0> <n> <p2s> <3p>
için	iç <adj> <Djn_0> <n> <gen>
için	iç <adj> <Djn_0> <n> <gen> <3s>
için	iç <adj> <Djn_0> <n> <gen> <3p>
için	iç <n> <p2s>
için	iç <n> <p2s> <3s>
için	iç <n> <p2s> <3p>
için	iç <n> <gen>
için	iç <n> <gen> <3s>
için	iç <n> <gen> <3p>
için	iç <v> <t_imp> <2p>
fırsat	fırsat <n> <3s>
fırsat	fırsat <n> <3p>
buldu.	bul <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Bu	bu <prn> <dem> <3s>
Bu	bu <prn> <dem> <3p>
Bu	bu <det>
sana	san <n> <dat> <3s>
sana	san <n> <dat> <3p>
sana	san <v> <t_opt> <3s>
sana	san <v> <t_opt> <3p>
sana	sen <prn> <pers> <dat>
sana	sen <prn> <pers> <dat> <3s>
sana	sen <prn> <pers> <dat> <3p>
ders	ders <n> <3s>
ders	ders <n> <3p>
olsun,	ol <v> <t_imp> <3s>
sakın	sakın <n> <3s>
sakın	sakın <n> <3p>
sakın	sakın <ij>
sakın	sakın <v> <t_imp> <2s>
sakın	sakın <v> <t_imp> <3p>
sakın	sak <n> <p2s>
sakın	sak <n> <p2s> <3s>
sakın	sak <n> <p2s> <3p>
sakın	sak <n> <gen>
sakın	sak <n> <gen> <3s>
sakın	sak <n> <gen> <3p>
öfkelenme!”	<unk>
"Çeneni	çene <n> <p2s> <acc> <3s>
"Çeneni	çene <n> <p2s> <acc> <3p>
tut,	tut <v> <t_imp> <3p>
Anne!"	anne <n> <3s>
Anne!"	anne <n> <3p>
dedi	de <v> <t_past> <3p>
genç	genç <adj> <Djn_0> <n>
genç	genç <adj> <Djn_0> <n> <3s>
genç	genç <adj> <Djn_0> <n> <3p>
genç	genç <n>
genç	genç <n> <3s>
genç	genç <n> <3p>
yengeç.	yengeç <n> <3s>
yengeç.	yengeç <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Biraz	biraz <adj> <Djn_0> <n>
Biraz	biraz <adj> <Djn_0> <n> <3s>
Biraz	biraz <adj> <Djn_0> <n> <3p>
Biraz	biraz <adv>
Biraz	biraz <adv> <Dan_0> <n>
Biraz	biraz <adv> <Dan_0> <n> <3s>
Biraz	biraz <adv> <Dan_0> <n> <3p>
Biraz	biraz <det>
sinirlendi.	sinirlen <v> <t_past> <3p>
sinirlendi.	sinirle <v> <pass> <t_past> <3s>
sinirlendi.	sinirle <v> <pass> <t_past> <3p>
sinirlendi.	sinir <n> <D_lAn> <v> <t_past> <3s>
sinirlendi.	sinir <n> <D_lAn> <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Sen	sen <prn> <pers> <3s>
"Sen	sen <prn> <pers> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
istiridyenin	istiridye <n> <p2s> <gen> <3s>
istiridyenin	istiridye <n> <p2s> <gen> <3p>
istiridyenin	istiridye <n> <gen>
istiridyenin	istiridye <n> <gen> <3s>
istiridyenin	istiridye <n> <gen> <3p>
sabrını	sabır <n> <p2s> <acc> <3s>
sabrını	sabır <n> <p2s> <acc> <3p>
sabrını	sabır <n> <p3s> <acc>
sabrını	sabır <n> <p3s> <acc> <3s>
sabrını	sabır <n> <p3s> <acc> <3p>
denemeye	deneme <n> <dat> <3s>
denemeye	deneme <n> <dat> <3p>
denemeye	dene <v> <D_mA> <n> <dat>
denemeye	dene <v> <D_mA> <n> <dat> <3s>
denemeye	dene <v> <D_mA> <n> <dat> <3p>
denemeye	dene <v> <neg> <t_opt> <3s>
denemeye	dene <v> <neg> <t_opt> <3p>
denemeye	dene <v> <vn_ma> <dat>
denemeye	dene <v> <vn_ma> <dat> <3s>
denemeye	dene <v> <vn_ma> <dat> <3p>
denemeye	dene <v> <vn_mak> <dat>
denemeye	dene <v> <vn_mak> <dat> <3s>
denemeye	dene <v> <vn_mak> <dat> <3p>
denemeye	dene <v> <vinf> <dat>
denemeye	de <v> <pass> <abil> <neg> <t_opt> <3s>
denemeye	de <v> <pass> <abil> <neg> <t_opt> <3p>
yetersin!"	<unk>
“Keşke	<unk>
Dinah	<unk>
burada	bura <prn> <locp> <loc> <3s>
burada	bura <prn> <locp> <loc> <3p>
olsaydı,”	<unk>
dedi	de <v> <t_past> <3p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
