<S> <S>+BSTag
"Bunu	bun <n> <p3s> <3s>
"Bunu	bun <n> <p3s> <3p>
"Daha	daha <n> <3s>
"Daha	daha <n> <3p>
ne	ne <prn> <qst> <3s>
ne	ne <prn> <qst> <3p>
ne	ne <cnjcoo>
hakkında	hak <n> <p2s> <loc> <3s>
hakkında	hak <n> <p2s> <loc> <3p>
hakkında	hak <n> <p3s> <loc>
hakkında	hak <n> <p3s> <loc> <3s>
hakkında	hak <n> <p3s> <loc> <3p>
olduklarını	ol <v> <vn_dik> <p3p> <acc> <3s>
olduklarını	ol <v> <vn_dik> <p3p> <acc> <3p>
olduklarını	ol <v> <part_dik> <pl> <p2s> <acc>
olduklarını	ol <v> <part_dik> <pl> <p2s> <acc> <3s>
olduklarını	ol <v> <part_dik> <pl> <p2s> <acc> <3p>
olduklarını	ol <v> <part_dik> <pl> <p3s> <acc>
olduklarını	ol <v> <part_dik> <pl> <p3s> <acc> <3s>
olduklarını	ol <v> <part_dik> <pl> <p3s> <acc> <3p>
olduklarını	ol <v> <part_dik> <p3p> <acc>
olduklarını	ol <v> <part_dik> <p3p> <acc> <3s>
olduklarını	ol <v> <part_dik> <p3p> <acc> <3p>
bile	bile <cnjadv>
bile	bil <v> <t_opt> <3s>
bile	bil <v> <t_opt> <3p>
bilmiyorsun!"	<unk>
“Oku	<unk>
onları,”	<unk>
dedi	de <v> <t_past> <3p>
Kral.	kral <n> <3s>
Kral.	kral <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Beyaz	beyaz <n> <3s>
Beyaz	beyaz <n> <3p>
Tavşan	tavşan <n> <3s>
Tavşan	tavşan <n> <3p>
gözlüklerini	gözlük <n> <pl> <p2s> <acc> <3s>
gözlüklerini	gözlük <n> <pl> <p2s> <acc> <3p>
gözlüklerini	gözlük <n> <pl> <p3s> <acc>
gözlüklerini	gözlük <n> <pl> <p3s> <acc> <3s>
gözlüklerini	gözlük <n> <pl> <p3s> <acc> <3p>
gözlüklerini	gözlük <n> <p3p> <acc>
gözlüklerini	gözlük <n> <p3p> <acc> <3s>
gözlüklerini	gözlük <n> <p3p> <acc> <3p>
gözlüklerini	göz <n> <D_lIK> <n> <pl> <p2s> <acc>
gözlüklerini	göz <n> <D_lIK> <n> <pl> <p2s> <acc> <3s>
gözlüklerini	göz <n> <D_lIK> <n> <pl> <p2s> <acc> <3p>
gözlüklerini	göz <n> <D_lIK> <n> <pl> <p3s> <acc>
gözlüklerini	göz <n> <D_lIK> <n> <pl> <p3s> <acc> <3s>
gözlüklerini	göz <n> <D_lIK> <n> <pl> <p3s> <acc> <3p>
gözlüklerini	göz <n> <D_lIK> <n> <p3p> <acc>
gözlüklerini	göz <n> <D_lIK> <n> <p3p> <acc> <3s>
gözlüklerini	göz <n> <D_lIK> <n> <p3p> <acc> <3p>
taktı,	takt <n> <p3s> <3s>
